Variables,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
            HDB 5-room And Executive Flats,"66,600.00","73,413.00","78,946.00","81,418.00","82,885.00","84,657.00","84,757.00","85,035.00","85,346.00","83,653.00","81,759.00","80,366.00","77,508.00","74,405.00","71,612.00","68,612.00","65,409.00","63,542.00","61,836.00","61,004.00"
        Condominiums & Other Apartments,"16,838.00","19,594.00","22,387.00","23,735.00","24,894.00","26,700.00","28,160.00","29,153.00","28,718.00","28,407.00","28,821.00","28,560.00","28,456.00","28,691.00","29,532.00","30,914.00","32,373.00","35,337.00","38,371.00","40,703.00"
        Landed Properties,"19,093.00","20,331.00","21,020.00","20,586.00","20,071.00","19,693.00","18,783.00","18,239.00","17,432.00","16,551.00","15,942.00","15,545.00","15,076.00","14,558.00","14,311.00","13,915.00","13,264.00","12,964.00","12,960.00","13,191.00"
        Other Types Of Dwelling,"1,853.00","1,808.00","1,711.00","1,539.00","1,372.00","1,345.00","1,307.00","1,371.00","1,480.00","1,456.00","1,320.00","1,307.00","1,226.00","1,161.00","1,052.00","1,054.00",934,848,796,772
15-19 Years,"211,286.00","210,903.00","209,687.00","214,074.00","227,417.00","234,921.00","246,547.00","257,298.00","262,856.00","262,775.00","263,750.00","260,738.00","258,861.00","255,066.00","247,337.00","242,902.00","239,771.00","232,973.00","226,520.00","222,222.00"
        Total HDB Dwellings,"180,828.00","179,187.00","176,835.00","179,276.00","188,800.00","194,002.00","202,341.00","210,289.00","214,637.00","214,281.00","214,395.00","211,810.00","209,863.00","206,288.00","199,244.00","194,575.00","190,208.00","182,255.00","174,718.00","168,968.00"
            HDB 1- And 2-room Flats,"5,458.00","4,758.00","4,225.00","3,969.00","3,899.00","3,892.00","4,018.00","4,453.00","4,853.00","5,241.00","5,789.00","6,549.00","7,187.00","8,025.00","8,595.00","9,086.00","9,245.00","9,237.00","8,924.00","8,674.00"
            HDB 3-room Flats,"43,898.00","39,382.00","35,759.00","33,568.00","32,472.00","31,456.00","31,253.00","31,328.00","31,671.00","31,127.00","30,999.00","30,569.00","30,019.00","29,039.00","28,298.00","27,778.00","27,316.00","26,141.00","25,288.00","24,481.00"
            HDB 4-room Flats,"77,232.00","78,075.00","78,532.00","79,980.00","84,235.00","86,504.00","89,693.00","92,632.00","93,927.00","92,981.00","91,728.00","89,612.00","87,912.00","85,462.00","81,794.00","79,285.00","76,821.00","73,143.00","69,826.00","67,299.00"
            HDB 5-room And Executive Flats,"52,540.00","55,409.00","57,189.00","60,764.00","67,237.00","71,147.00","76,277.00","80,748.00","83,153.00","83,900.00","84,881.00","84,280.00","84,036.00","83,210.00","80,322.00","78,237.00","76,659.00","73,734.00","70,680.00","68,514.00"
        Condominiums & Other Apartments,"12,263.00","13,382.00","14,556.00","16,040.00","18,426.00","20,164.00","22,408.00","24,277.00","25,238.00","25,966.00","27,249.00","27,992.00","28,551.00","28,802.00","29,165.00","30,192.00","31,848.00","33,757.00","35,440.00","37,003.00"
        Landed Properties,"16,587.00","16,856.00","16,875.00","17,438.00","18,958.00","19,539.00","20,535.00","21,364.00","21,334.00","20,866.00","20,556.00","19,509.00","19,015.00","18,606.00","17,759.00","17,112.00","16,738.00","16,087.00","15,466.00","15,282.00"
        Other Types Of Dwelling,"1,608.00","1,478.00","1,421.00","1,320.00","1,233.00","1,216.00","1,263.00","1,368.00","1,647.00","1,662.00","1,550.00","1,427.00","1,432.00","1,370.00","1,169.00","1,023.00",977,874,896,969
20-24 Years,"212,236.00","214,636.00","216,313.00","215,412.00","215,217.00","218,951.00","219,631.00","218,485.00","225,385.00","241,753.00","247,190.00","255,069.00","264,506.00","266,889.00","263,918.00","264,127.00","260,854.00","259,072.00","255,516.00","249,079.00"
