school_name,lat,lng,address,mainlevel_code
punggol view primary school,1.3997825,103.9014659,9    punggol place,primary
qifa primary school,1.31280555,103.75696495470032,50   west coast avenue,primary
qihua primary school,1.4420502000000002,103.78833369286497,5    woodlands street 81,primary
queenstown primary school,1.2960256,103.8078517193143,310  margaret dr,primary
queenstown secondary school,1.2934342,103.81331399959538,1    strathmore road,secondary
queensway secondary school,1.3004452,103.80190765214465,2a   margaret drive,secondary
radin mas primary school,1.2750442,103.8240239309686,1    bukit purmei avenue,primary
raffles girls' primary school,1.3347179,103.8074095,21   hillcrest road,primary
raffles girls' school (secondary),1.34295555,103.84330709944169,2    braddell rise,secondary
raffles institution,0.0,0.0,1    raffles institution lane,mixed levels
red swastika school,1.3336412,103.93461860928615,350  bedok north avenue 3,primary
regent secondary school,1.3935137499999999,103.75101209380934,50   choa chu kang north 5,secondary
river valley high school,1.3433953,103.70925920622919,6    boon lay avenue,mixed levels
river valley primary school,1.2964913999999998,103.83444171697309,2    river valley green,primary
riverside primary school,1.4472779,103.80183283378793,110  woodlands crescent,primary
riverside secondary school,1.44058925,103.78839524092368,3    woodlands street 81,secondary
rivervale primary school,1.39365955,103.9046125317468,80   rivervale drive,primary
rosyth school,1.37276625,103.87452822134901,21   serangoon north avenue 4,primary
rulang primary school,1.34660905,103.71873699937234,6    jurong west street 52,primary
"school of science and technology, singapore",1.3131051,103.77372539203807,1    technology drive,secondary
"school of the arts, singapore",1.2993051,103.8489594,1    zubir said drive,mixed levels
sembawang primary school,1.4452989,103.82089038717231,10   sembawang drive,primary
sembawang secondary school,1.44565285,103.81666278797933,30   sembawang crescent,secondary
seng kang primary school,1.38939055,103.89939534841366,21   compassvale walk,primary
seng kang secondary school,1.3865332,103.89870625871443,10   compassvale lane,secondary
sengkang green primary school,1.39288245,103.87480361151378,15   fernvale road,primary
serangoon garden secondary school,1.3702241,103.86897286092807,21   serangoon north avenue 1,secondary
serangoon secondary school,1.3749396,103.90206302368388,11   upper serangoon view,secondary
shuqun primary school,1.34712705,103.72159024757968,8    jurong west street 51,primary
si ling primary school,1.4327239999999999,103.7857785129217,61   woodlands avenue 1,primary
singapore chinese girls' primary school,1.3210897,103.82786731298657,190  dunearn road,primary
singapore chinese girls' school,1.3210897,103.82786731298657,190  dunearn road,secondary
singapore sports school,1.4272654,103.78772923507564,1    champions way,mixed levels
south view primary school,1.3805368,103.7480566,6    choa chu kang central,primary
spectra secondary school,1.43640725,103.80428360303222,1    woodlands drive 64,secondary
springdale primary school,1.3949768,103.88977656483088,71   anchorvale link,primary
springfield secondary school,1.35001895,103.92999016099517,30   tampines avenue 8,secondary
st. andrew's junior college,1.3319318500000001,103.86353130239937,5    sorby adams drive,junior college
st. andrew's junior school,1.3314533499999999,103.86502467636979,2    francis thomas drive,primary
st. andrew's secondary school,1.3314243000000001,103.86590718437401,15   francis thomas drive,secondary
st. anthony's canossian primary school,1.3349316,103.94086619821809,1602 bedok north ave 4,primary
st. anthony's canossian secondary school,1.334946,103.9423636122844,1600 bedok north avenue 4,secondary
st. anthony's primary school,1.3632481,103.7487009,30   bukit batok st 32,primary
st. gabriel's primary school,1.354799,103.866598,220  lorong chuan,primary
st. gabriel's secondary school,1.3465775500000001,103.87547399268121,24   serangoon avenue 1,secondary
st. hilda's primary school,1.3514157,103.9306426,2    tampines ave 3,primary
st. hilda's secondary school,1.3501232,103.93700761243284,2    tampines street 82,secondary
st. joseph's institution,1.3241929,103.82832014561242,38   malcolm road,mixed levels
st. joseph's institution junior,1.31754345,103.8463068157661,3    essex road,primary
st. margaret's primary school,1.3245444,103.88162980070163,2    mattar road,primary
st. margaret's secondary school,1.32043285,103.80968354710049,111  farrer road,secondary
st. patrick's school,1.3086646499999999,103.91694506663454,490  east coast road,secondary
st. stephen's school,1.318257,103.91827351658476,20   siglap view,primary
stamford primary school,1.3038409,103.85730102406205,1    victoria lane,primary
swiss cottage secondary school,1.36456,103.75043307403962,3    bukit batok street 34,secondary
tampines meridian junior college,1.37620765,103.93790362438747,21   pasir ris street 71,junior college
tampines north primary school,1.3605469000000001,103.94912431881409,30   tampines avenue 9,primary
tampines primary school,1.3503174,103.9439018600156,250  tampines street 12,primary
tampines secondary school,1.3494462,103.94410229255537,252  tampines st 12,secondary
tanglin secondary school,1.30983385,103.75804351906994,301  west coast road,secondary
tanjong katong girls' school,1.3092265,103.8962351,20   dunman lane,secondary
tanjong katong primary school,1.3242147499999999,103.93883600899255,860  new upper changi road,primary
tanjong katong secondary school,1.3083187,103.89733967436041,130  haig road,secondary
tao nan school,1.3033097,103.9123064,49   marine crescent,primary
teck ghee primary school,1.36536405,103.85093696575059,1    ang mo kio street 32,primary
teck whye primary school,1.3838682,103.75364438639032,11   teck whye walk,primary
teck whye secondary school,1.3830944,103.75523104179673,31   teck whye crescent,secondary
telok kurau primary school,1.3374597,103.9146683,50   bedok reservoir rd,primary
temasek junior college,1.31820425,103.9349802695076,22   bedok south road,mixed levels
temasek primary school,1.3174447,103.94583151191244,501  bedok south ave 3,primary
temasek secondary school,1.3163472999999999,103.94785330286003,600  upper east coast road,secondary
townsville primary school,1.3757477,103.8546396,3    ang mo kio ave 10,primary
unity primary school,1.40273665,103.74675327152696,21   choa chu kang crescent,primary
unity secondary school,1.39972215,103.74602939217792,20   choa chu kang street 62,secondary
valour primary school,1.4117400999999998,103.89921923530514,52   sumang walk,primary
victoria junior college,1.3061913,103.91984444651865,20   marine vista,junior college
victoria school,1.30854205,103.92745780276405,2    siglap link,secondary
waterway primary school,1.3992087999999998,103.91839414052309,70   punggol drive,primary
wellington primary school,1.4521362500000001,103.82241263283717,10   wellington circle,primary
west grove primary school,1.34468085,103.69898328299087,1    jurong west st 72,primary
west spring primary school,1.387296,103.7701972,60   bukit panjang ring road,primary
west spring secondary school,1.38827575,103.75987151476684,61   senja  road,secondary
west view primary school,1.38348015,103.76007848739347,31   senja road,primary
westwood primary school,1.3474423500000001,103.700513045387,1    jurong west street 73,primary
westwood secondary school,1.35357275,103.70180250863571,11   jurong west street 25,secondary
white sands primary school,1.36547295,103.96125455882462,2    pasir ris st 11,primary
whitley secondary school,1.35567945,103.84255758133665,30   bishan street 24,secondary
woodgrove primary school,1.4331624,103.79032679117,2    woodlands drive 14,primary
woodgrove secondary school,1.42830325,103.79658064600358,3    woodlands avenue 6,secondary
woodlands primary school,1.43669555,103.79169016829829,10   woodlands drive 50,primary
woodlands ring primary school,1.43466535,103.79784050639532,11   woodlands ring road,primary
woodlands ring secondary school,1.436023,103.80043534945747,10   woodlands ring road,secondary
woodlands secondary school,1.43959845,103.77439467346329,11   marsiling road,secondary
xinghua primary school,1.3580028,103.89051501350177,45   hougang avenue 1,primary
xingnan primary school,1.3431928,103.68774924347912,5    jurong west street 91,primary
xinmin primary school,1.3758376,103.8898678,9    hougang avenue 8,primary
xinmin secondary school,1.3725581999999998,103.88292818222591,11   hougang avenue 8,secondary
xishan primary school,1.43343,103.83778655449996,8    yishun street 21,primary
yangzheng primary school,1.352031,103.8701541,15   serangoon avenue 3,primary
yew tee primary school,1.3969573,103.75108937114848,10   choa chu kang st 64,primary
yio chu kang primary school,1.37791475,103.88546126892923,1    hougang street 51,primary
yio chu kang secondary school,1.3784798500000002,103.84210804081067,3063 ang mo kio avenue 5,secondary
yishun innova junior college,1.4182108,103.8336083,3    yishun ring road,junior college
yishun primary school,1.4343949,103.8342966,500  yishun ring road,primary
yishun secondary school,1.42793975,103.82902825,4    yishun street 71,secondary
yishun town secondary school,1.4326645500000001,103.83788512141666,6    yishun street 21,secondary
yu neng primary school,1.3341393,103.93257412296559,56   bedok north st 3,na
yuan ching secondary school,1.3363055,103.7250835,103  yuan ching road,secondary
yuhua primary school,1.3428913,103.74096003566154,158  jurong east street 24,primary
yuhua secondary school,1.3484116,103.7232234,35   jurong west street 41,secondary
yumin primary school,1.3512643,103.95087354401925,3    tampines street 21,primary
yusof ishak secondary school,1.3426976000000002,103.76000794940666,11   bukit batok street 25,secondary
yuying secondary school,1.3570939499999999,103.89070897403971,47   hougang avenue 1,secondary
zhangde primary school,1.2842497000000002,103.82608192459686,51   jalan membina,primary
zhenghua primary school,1.37942415,103.76967649681461,9    fajar road,primary
zhenghua secondary school,1.3888414,103.76520736341934,91   senja road,secondary
zhonghua primary school,1.3599114,103.86971022260559,12   serangoon avenue 4,primary
zhonghua secondary school,1.3486042999999999,103.8693704480504,13   serangoon avenue 3,secondary
