school_name,lat,lng,address,mainlevel_code
si ling primary school,0,0,61   woodlands avenue 1,primary
singapore chinese girls' primary school,0,0,190  dunearn road,primary
singapore chinese girls' school,0,0,190  dunearn road,secondary
singapore sports school,0,0,1    champions way,mixed levels
south view primary school,0,0,6    choa chu kang central,primary
spectra secondary school,0,0,1    woodlands drive 64,secondary
springdale primary school,0,0,71   anchorvale link,primary
springfield secondary school,0,0,30   tampines avenue 8,secondary
st. andrew's junior college,0,0,5    sorby adams drive,junior college
st. andrew's junior school,0,0,2    francis thomas drive,primary
st. andrew's secondary school,0,0,15   francis thomas drive,secondary
st. anthony's canossian primary school,0,0,1602 bedok north ave 4,primary
st. anthony's canossian secondary school,0,0,1600 bedok north avenue 4,secondary
st. anthony's primary school,0,0,30   bukit batok st 32,primary
st. gabriel's primary school,0,0,220  lorong chuan,primary
st. gabriel's secondary school,0,0,24   serangoon avenue 1,secondary
st. hilda's primary school,0,0,2    tampines ave 3,primary
st. hilda's secondary school,0,0,2    tampines street 82,secondary
st. joseph's institution,0,0,38   malcolm road,mixed levels
st. joseph's institution junior,0,0,3    essex road,primary
st. margaret's primary school,0,0,2    mattar road,primary
st. margaret's secondary school,0,0,111  farrer road,secondary
st. patrick's school,0,0,490  east coast road,secondary
st. stephen's school,0,0,20   siglap view,primary
stamford primary school,0,0,1    victoria lane,primary
swiss cottage secondary school,0,0,3    bukit batok street 34,secondary
tampines meridian junior college,0,0,21   pasir ris street 71,junior college
tampines north primary school,0,0,30   tampines avenue 9,primary
tampines primary school,0,0,250  tampines street 12,primary
tampines secondary school,0,0,252  tampines st 12,secondary
tanglin secondary school,0,0,301  west coast road,secondary
tanjong katong girls' school,0,0,20   dunman lane,secondary
tanjong katong primary school,0,0,860  new upper changi road,primary
tanjong katong secondary school,0,0,130  haig road,secondary
tao nan school,0,0,49   marine crescent,primary
teck ghee primary school,0,0,1    ang mo kio street 32,primary
teck whye primary school,0,0,11   teck whye walk,primary
teck whye secondary school,0,0,31   teck whye crescent,secondary
telok kurau primary school,0,0,50   bedok reservoir rd,primary
temasek junior college,0,0,22   bedok south road,mixed levels
temasek primary school,0,0,501  bedok south ave 3,primary
temasek secondary school,0,0,600  upper east coast road,secondary
townsville primary school,0,0,3    ang mo kio ave 10,primary
unity primary school,0,0,21   choa chu kang crescent,primary
unity secondary school,0,0,20   choa chu kang street 62,secondary
valour primary school,0,0,52   sumang walk,primary
victoria junior college,0,0,20   marine vista,junior college
victoria school,0,0,2    siglap link,secondary
waterway primary school,0,0,70   punggol drive,primary
wellington primary school,0,0,10   wellington circle,primary
west grove primary school,0,0,1    jurong west st 72,primary
west spring primary school,0,0,60   bukit panjang ring road,primary
west spring secondary school,0,0,61   senja  road,secondary
west view primary school,0,0,31   senja road,primary
westwood primary school,0,0,1    jurong west street 73,primary
westwood secondary school,0,0,11   jurong west street 25,secondary
white sands primary school,0,0,2    pasir ris st 11,primary
whitley secondary school,0,0,30   bishan street 24,secondary
woodgrove primary school,0,0,2    woodlands drive 14,primary
woodgrove secondary school,0,0,3    woodlands avenue 6,secondary
woodlands primary school,0,0,10   woodlands drive 50,primary
woodlands ring primary school,0,0,11   woodlands ring road,primary
woodlands ring secondary school,0,0,10   woodlands ring road,secondary
woodlands secondary school,0,0,11   marsiling road,secondary
xinghua primary school,0,0,45   hougang avenue 1,primary
xingnan primary school,0,0,5    jurong west street 91,primary
xinmin primary school,0,0,9    hougang avenue 8,primary
xinmin secondary school,0,0,11   hougang avenue 8,secondary
xishan primary school,0,0,8    yishun street 21,primary
yangzheng primary school,0,0,15   serangoon avenue 3,primary
yew tee primary school,0,0,10   choa chu kang st 64,primary
yio chu kang primary school,0,0,1    hougang street 51,primary
yio chu kang secondary school,0,0,3063 ang mo kio avenue 5,secondary
yishun innova junior college,0,0,3    yishun ring road,junior college
yishun primary school,0,0,500  yishun ring road,primary
yishun secondary school,0,0,4    yishun street 71,secondary
yishun town secondary school,0,0,6    yishun street 21,secondary
yu neng primary school,0,0,56   bedok north st 3,na
yuan ching secondary school,0,0,103  yuan ching road,secondary
yuhua primary school,0,0,158  jurong east street 24,primary
yuhua secondary school,0,0,35   jurong west street 41,secondary
yumin primary school,0,0,3    tampines street 21,primary
yusof ishak secondary school,0,0,11   bukit batok street 25,secondary
yuying secondary school,0,0,47   hougang avenue 1,secondary
zhangde primary school,0,0,51   jalan membina,primary
zhenghua primary school,0,0,9    fajar road,primary
zhenghua secondary school,0,0,91   senja road,secondary
zhonghua primary school,0,0,12   serangoon avenue 4,primary
zhonghua secondary school,0,0,13   serangoon avenue 3,secondary
